item,p/c ratio
border sauce - diablo,0
border sauce - hot,0
breakfast salsa,0
nestle® coffee-mate™ sweetened original creamer (1 portion creamer),0
pineapple freeze™ (20 oz),0
pineapple whip freeze™ (20 oz),0
wild strawberry freeze™ (20 oz),0
wild strawberry freeze™ without seeds (20 oz),0
water,0
beach berry freeze (20 oz),0
izze sparkling clementine (20 oz),0
margarita freeze (20 oz),0
party punch freeze (20 oz),0
red sangria (16 oz),0
rum (80 proof),0
stubborn soda - black cherry tarragon (20 oz),0
tequila (80 proof),0
barrio blonde (draft),0
beach bell beer (draft),0
brooklyn lager (draft),0
coors light (draft),0
dos equis lager especial (draft),0
fair winds® howling gail (draft),0
fat tire amber ale (draft),0
hop commander ipa (draft),0
miller genuine draft (draft),0
miller high life (draft),0
miller lite (draft),0
samuel adams® winter lager (draft),0
sol cervesa (draft),0
stella artois (draft),0
victoria (draft),0
yuengling - black and tan (12 oz),0
yuengling - golden pilsner (12 oz),0
yuengling - lager (12 oz),0
yuengling - light lager (12 oz),0
yuengling - porter (12 oz),0
yuengling - premium (12 oz),0
yuengling - premium light (12 oz),0
caleb's kola (20 oz) - lv,0
izze sparkling clementine (20 oz) - lv,0
mtn dew® baja blast freeze™ (32 oz),0
red sangria - lv,0
rum (80 proof) - double - lv,0
strawberry flavor shot (16 oz) - lv,0
stubborn soda - black cherry taragon (20 oz) - lv,0
tequila (80 proof) - double - lv,0
vanilla flavor shot (16 oz) - lv,0
vodka (80 proof) - double - lv,0
whiskey (80 proof) - double - lv,0
brisk® mango iced tea (16 fl oz),0
diet dr pepper® (16 fl oz),0
diet pepsi® (16 fl oz),0
g2 - fruit punch (16 fl oz),0
mtn dew® (16 fl oz),0
mtn dew® baja blast zero sugar (16 fl oz),0
mug® root beer (16 fl oz),0
pepsi® wild cherry (16 fl oz),0
tropicana® pink lemonade (16 fl oz),0
brisk® mango iced tea (20 fl oz),0
diet dr pepper® (20 fl oz),0
diet pepsi® (20 fl oz),0
g2 - fruit punch (20 fl oz),0
mtn dew® (20 fl oz),0
mtn dew® baja blast zero sugar (20 fl oz),0
mug® root beer (20 fl oz),0
pepsi® wild cherry (20 fl oz),0
tropicana® pink lemonade (20 fl oz),0
brisk® mango iced tea (30 fl oz),0
diet dr pepper® (30 fl oz),0
diet pepsi® (30 fl oz),0
g2 - fruit punch (30 fl oz),0
mtn dew® (30 fl oz),0
mtn dew® baja blast zero sugar (30 fl oz),0
mug® root beer (30 fl oz),0
pepsi® wild cherry (30 fl oz),0
tropicana® pink lemonade (30 fl oz),0
border sauce - fire,0
border sauce - mild,0
